wavelength,x.cmf,y.cmf,z.cmf,illuminant.SPD,unk.SRD1,unk.SRD2,unk.SRD3
559,0.5778215,0.9968987,0.0042024,1.00405,0.351874287,0.046101936,0.081036098
560,0.5945,0.995,0.0039,1,0.357225119,0.045848739,0.078872964
561,0.6112209,0.9926005,0.0036232,0.996334,0.36150776,0.044997542,0.077134412
562,0.6279758,0.9897426,0.0033706,0.992668,0.365965016,0.043962383,0.075091085
563,0.6447602,0.9864444,0.0031414,0.989003,0.371030531,0.044001882,0.073045959
564,0.6615697,0.9827241,0.0029348,0.985337,0.375539991,0.043028067,0.071123098
565,0.6784,0.9786,0.002749999,0.981671,0.378967797,0.042999848,0.06921807
566,0.6952392,0.9740837,0.0025852,0.978005,0.383022308,0.042959237,0.067956692
567,0.7120586,0.9691712,0.0024386,0.974339,0.387430179,0.041999474,0.065898092
568,0.7288284,0.9638568,0.0023094,0.970674,0.390561006,0.041971387,0.065127838
569,0.7455188,0.9581349,0.0021968,0.967008,0.393989035,0.040999519,0.063025371
570,0.7621,0.952,0.0021,0.963342,0.398031452,0.040985389,0.061906266
571,0.7785432,0.9454504,0.002017733,0.962796,0.400989154,0.039993255,0.06102345
572,0.7948256,0.9384992,0.0019482,0.96225,0.403942472,0.039979068,0.059963802
573,0.8109264,0.9311628,0.0018898,0.961703,0.407082691,0.039001156,0.059015407
574,0.8268248,0.9234576,0.001840933,0.961157,0.410517415,0.038977398,0.05789197
575,0.8425,0.9154,0.0018,0.960611,0.41296228,0.037994923,0.057300486
576,0.8579325,0.9070064,0.001766267,0.960065,0.41596625,0.038002378,0.057002322
577,0.8730816,0.8982772,0.0017378,0.959519,0.418101651,0.036993592,0.055993826
578,0.8878944,0.8892048,0.0017112,0.958972,0.421465296,0.037006981,0.055531131
579,0.9023181,0.8797816,0.001683067,0.958426,0.423798336,0.036015483,0.054997777
580,0.9163,0.87,0.001650001,0.95788,0.425995594,0.036000466,0.053998177
581,0.9297995,0.8598613,0.001610133,0.950778,0.428190582,0.034993241,0.054003572
582,0.9427984,0.849392,0.0015644,0.943675,0.43048171,0.035007036,0.053027211
583,0.9552776,0.838622,0.0015136,0.936573,0.432736683,0.034015707,0.052998054
584,0.9672179,0.8275813,0.001458533,0.92947,0.433976897,0.03400011,0.051993402
585,0.9786,0.8163,0.0014,0.922368,0.4359362,0.032913293,0.052000182
586,0.9893856,0.8047947,0.001336667,0.915266,0.438099031,0.033000151,0.051586022
587,0.9995488,0.793082,0.00127,0.908163,0.438873803,0.032997936,0.050999612
588,1.0090892,0.781192,0.001205,0.901061,0.441025675,0.031975066,0.050999913
589,1.0180064,0.7691547,0.001146667,0.893958,0.441991815,0.031999982,0.05093531
590,1.0263,0.757,0.0011,0.886856,0.442942231,0.03199991,0.04999946
591,1.0339827,0.7447541,0.0010688,0.888177,0.443896576,0.032101645,0.04999986
592,1.040986,0.7324224,0.0010494,0.889497,0.444897091,0.031001168,0.050101705
593,1.047188,0.7200036,0.0010356,0.890818,0.446011914,0.031,0.049000307
594,1.0524667,0.7074965,0.0010212,0.892138,0.447004936,0.031,0.049000116
595,1.0567,0.6949,0.001,0.893459,0.44800724,0.031,0.048719021
596,1.0597944,0.6822192,0.00096864,0.89478,0.448499986,0.031,0.047999488
597,1.0617992,0.6694716,0.00092992,0.8961,0.449002382,0.031,0.047997974
598,1.0628068,0.6566744,0.00088688,0.897421,0.450027089,0.031,0.046972911
599,1.0629096,0.6438448,0.00084256,0.898741,0.449999966,0.031,0.04699999
600,1.0622,0.631,8.00E-04,0.900062,0.450186372,0.031,0.046999935
601,1.0607352,0.6181555,0.00076096,0.899655,0.451000555,0.031,0.047084323
602,1.0584436,0.6053144,0.00072368,0.899248,0.450999999,0.031,0.046001795
603,1.0552244,0.5924756,0.00068592,0.898841,0.451,0.03100001,0.045999998
604,1.0509768,0.5796379,0.00064544,0.898434,0.451,0.030995656,0.046000312
605,1.0456,0.5668,6.00E-04,0.898026,0.451,0.032001541,0.044978532
606,1.0390369,0.5539611,0.000547867,0.897619,0.451,0.031999992,0.045000116
607,1.0313608,0.5411372,0.0004916,0.897212,0.451,0.032000001,0.045
608,1.0226662,0.5283528,0.0004354,0.896805,0.451,0.031999495,0.044999999
609,1.0130477,0.5156323,0.000383467,0.896398,0.451,0.032647247,0.045000555
610,1.0026,0.503,0.00034,0.895991,0.451,0.03300026,0.044201153
611,0.9913675,0.4904688,0.000307253,0.894091,0.451,0.033,0.043999897
612,0.9793314,0.4780304,0.00028316,0.89219,0.451,0.033000106,0.044
613,0.9664916,0.4656776,0.00026544,0.89029,0.450999373,0.0340749,0.044
614,0.9528479,0.4534032,0.000251813,0.888389,0.44989813,0.033999859,0.044
615,0.9384,0.4412,0.00024,0.886489,0.450000149,0.034,0.044
616,0.923194,0.42908,0.000229547,0.884589,0.450000532,0.034,0.044
617,0.907244,0.417036,0.00022064,0.882688,0.449341156,0.034,0.044
618,0.890502,0.405032,0.00021196,0.880788,0.448999716,0.034,0.044
619,0.87292,0.393032,0.000202187,0.878887,0.449000027,0.034,0.044
620,0.8544499,0.381,0.00019,0.876987,0.448993548,0.034,0.044
621,0.835084,0.3689184,0.000174213,0.872577,0.44800067,0.034,0.044
622,0.814946,0.3568272,0.00015564,0.868167,0.448000165,0.034,0.044
623,0.794186,0.3447768,0.00013596,0.863757,0.447784095,0.034,0.044000005
624,0.772954,0.3328176,0.000116853,0.859347,0.446999449,0.034,0.043994726
625,0.7514,0.321,1.00E-04,0.854936,0.447000001,0.034,0.044971489
626,0.7295836,0.3093381,8.61E-05,0.850526,0.44699999,0.034,0.045000036
627,0.7075888,0.2978504,7.46E-05,0.846116,0.447007728,0.034,0.045
628,0.6856022,0.2865936,6.50E-05,0.841706,0.446018552,0.034,0.045
629,0.6638104,0.2756245,5.69E-05,0.837296,0.445999981,0.034,0.045
630,0.6424,0.265,5.00E-05,0.832886,0.446,0.034,0.044999971
631,0.6215149,0.2547632,4.42E-05,0.833297,0.445999995,0.034,0.045014343
632,0.6011138,0.2448896,3.95E-05,0.833707,0.446001509,0.034,0.046000459
633,0.5811052,0.2353344,3.57E-05,0.834118,0.444998902,0.034,0.046
634,0.5613977,0.2260528,3.26E-05,0.834528,0.445000005,0.034,0.046
635,0.5419,0.217,3.00E-05,0.834939,0.445,0.034,0.046
636,0.5225995,0.2081616,2.77E-05,0.83535,0.444999996,0.034,0.046000004
637,0.5035464,0.1995488,2.56E-05,0.83576,0.44500389,0.034,0.04599611
638,0.4847436,0.1911552,2.36E-05,0.836171,0.44402793,0.034,0.04697207
639,0.4661939,0.1829744,2.18E-05,0.836581,0.44399996,0.034,0.04700004
640,0.4479,0.175,2.00E-05,0.836992,0.444,0.034,0.047
641,0.4298613,0.1672235,1.81E-05,0.83332,0.444000011,0.034,0.047000009
642,0.412098,0.1596464,1.62E-05,0.829647,0.443991349,0.03400001,0.046993064
643,0.394644,0.1522776,1.42E-05,0.825975,0.443773615,0.03399279,0.047973236
644,0.3775333,0.1451259,1.21E-05,0.822302,0.444998328,0.034974394,0.048000036
645,0.3608,0.1382,1.00E-05,0.81863,0.445000002,0.035000044,0.04800001
646,0.3444563,0.1315003,7.73E-06,0.814958,0.445,0.034992288,0.047992288
