"";"x"
"235";-0,0101107462505411
"236";-0,237214555498724
"237";-0,0166426488724407
"238";0,275549878072614
"239";-0,081419950501658
"240";-0,0839766376599392
"241";-0,106868813174096
"242";0,00149477144257237
"243";-0,126404063094201
"244";0,266300509126689
"245";0,283234706187504
"246";-0,163638608653929
"247";-0,328852441567328
"248";-0,117533333245855
"249";0,18476265959819
"250";0,0214851525705464
"251";0,276243173124485
"252";0,0817228422876226
"253";-0,17771056463978
"254";-0,317054861120661
"255";0,120357921357072
"256";0,217316228050191
"257";-0,0782378687649019
"258";0,00955648407885204
"259";0,0055686064843575
"260";0,0133857902181821
"261";-0,147323395512204
"262";0,213598022300374
"263";0,000359345998012855
"264";-0,21907570074262
"265";-0,129340711321273
"266";0,188992709762752
"267";0,142702843943574
"268";-0,130822715638275
"269";0,0737778610648973
"270";-0,0874529937222436
"271";-0,0871886813168908
"272";-0,0436322023051373
"273";0,296998977787379
"274";-0,0383588300208797
"275";-0,241369101211461
"276";-0,000706874432839308
"277";0,16415023101559
"278";0,127876090301175
"279";-0,0403301258655065
"280";0,108445997024613
"281";-0,283242876922417
"282";-0,209720559606712
"283";0,0971387034519078
"284";0,415131195167761
"285";0,0616663906987242
"286";-0,179153182710678
"287";-0,0777563566232644
"288";-0,203745776568179
"289";-0,0547061544261163
"290";0,118099450638581
"291";0,336987915036164
"292";-0,162442441768161
"293";-0,157721330228806
"294";0,0209981460716232
"295";0,0886701992145222
"296";-0,0732748425303129
"297";-0,0412777380078676
"298";0,120658898140563
"299";-0,158779097599023
"300";0,0458473735033874
"301";0,164394704015447
"302";0,175225748670239
"303";-0,276976779958533
"304";-0,109208296834487
"305";0,097671167186758
"306";0,0416338934335019
"307";0,0459177884991219
"308";0,0556975489070126
"309";0,0365776763227143
"310";-0,301910721518927
"311";0,0818987003409413
"312";0,202045703637878
"313";0,0828374439094593
"314";-0,259882725562271
"315";-0,100630816103405
"316";0,0161267414508974
"317";-0,0324789056927834
"318";0,246922863303066
"319";0,177334216342938
"320";-0,0742053924564182
"321";-0,456201249519331
"322";-0,00344169556070378
"323";0,146091410609295
"324";0,15167797590755
"325";0,0935821008354007
"326";0,0793028163399877
"327";-0,119447568468428
"328";-0,287174788979283
"329";0,158683993549456
"330";0,124230529763377
"331";0,00693075796709454
"332";-0,166012994665511
"333";0,154048479683139
"334";0,0271590362464215
"335";-0,0528335855037125
"336";0,056691580472203
"337";-0,0356668241330676
"338";-0,16439859209575
"339";-0,156208585065347
"340";0,323702533027594
"341";0,0819414114947563
"342";-0,075224961494338
"343";-0,156943992300487
"344";0,026870126526862
"345";-0,0722700371291283
"346";0,0280359772325901
"347";0,24981928421404
"348";-0,0749390710064121
"349";-0,211335605360228
"350";-0,114507271101391
"351";0,32604254954689
"352";0,0633172443913175
"353";0,0197599081136009
"354";-0,0611535738694069
"355";-0,16235480480083
"356";-0,197507376472061
"357";0,113103408455883
"358";0,432182716580957
